timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1680275836245,5988,https://pharma-shop.tn/mon-compte-0,200,OK,,text,true,,781345,1194,0,0,https://pharma-shop.tn/themes/pharmashop/assets/cache/theme-ec13f3961.css,248,0,0
1680275842506,457,https://pharma-shop.tn/mon-compte-1,200,OK,ResDownload-Thread-28,text,true,,10427,575,0,0,https://fonts.googleapis.com/css2?family=Work+Sans:wght@100;200;300;400;500;600;700;800;900&display=swap,325,0,255
1680275836245,978,https://pharma-shop.tn/mon-compte-4,200,OK,Thread Group 1-4,text,true,,10029,517,5,5,https://cdn.onesignal.com/sdks/OneSignalSDK.js,554,0,432
1680275836245,940,https://pharma-shop.tn/mon-compte-5,200,OK,Thread Group 1-4,text,true,,3817,1160,5,5,https://pharma-shop.tn/img/cms/book.svg,677,0,514
1680275836245,1205,https://pharma-shop.tn/mon-compte-6,200,OK,Thread Group 1-4,bin,true,,10557,1156,5,5,https://pharma-shop.tn/img/logo.png,685,0,517
1680275836245,1291,https://pharma-shop.tn/mon-compte-7,200,OK,Thread Group 1-4,text,true,,13705,1161,5,5,https://pharma-shop.tn/img/cms/link6.svg,685,0,518
1680275837171,419,https://pharma-shop.tn/mon-compte-8,200,OK,Thread Group 1-4,bin,true,,6960,1165,5,5,https://pharma-shop.tn/img/cms/nutrition.png,215,0,0
1680275837186,816,https://pharma-shop.tn/mon-compte-9,200,OK,Thread Group 1-4,text,true,,22475,1161,5,5,https://pharma-shop.tn/img/cms/link3.svg,200,0,0
1680275837223,1655,https://pharma-shop.tn/mon-compte-10,200,OK,Thread Group 1-4,bin,true,,31957,1178,5,5,https://pharma-shop.tn/img/cms/menu/menu-right-visage.jpg,691,0,547
1680275837451,2713,https://pharma-shop.tn/mon-compte-11,200,OK,Thread Group 1-4,bin,true,,122510,1171,5,5,https://pharma-shop.tn/img/cms/bioxine-siteweb.png,175,0,0
1680275837537,1899,https://pharma-shop.tn/mon-compte-12,200,OK,Thread Group 1-4,bin,true,,87259,1161,5,5,https://pharma-shop.tn/img/cms/LAINO.PNG,219,0,0
1680275837591,2494,https://pharma-shop.tn/mon-compte-13,200,OK,Thread Group 1-4,bin,true,,120100,1163,5,5,https://pharma-shop.tn/img/cms/klorane.png,178,0,0
1680275838003,2068,https://pharma-shop.tn/mon-compte-14,200,OK,Thread Group 1-4,bin,true,,95273,1161,5,5,https://pharma-shop.tn/img/cms/AKTIV.png,146,0,0
1680275838880,2499,https://pharma-shop.tn/mon-compte-15,200,OK,Thread Group 1-4,bin,true,,110926,1170,5,5,https://pharma-shop.tn/img/cms/gelzone-intime.png,209,0,0
1680275839438,1754,https://pharma-shop.tn/mon-compte-16,200,OK,Thread Group 1-4,bin,true,,98644,1159,5,5,https://pharma-shop.tn/img/cms/svr.png,141,0,0
1680275840073,1747,https://pharma-shop.tn/mon-compte-17,200,OK,Thread Group 1-4,bin,true,,120390,1161,5,5,https://pharma-shop.tn/img/cms/sobio.png,152,0,0
1680275840087,1454,https://pharma-shop.tn/mon-compte-18,200,OK,Thread Group 1-4,bin,true,,79851,1162,5,5,https://pharma-shop.tn/img/cms/beurer.png,149,0,0
1680275840165,1627,https://pharma-shop.tn/mon-compte-19,200,OK,Thread Group 1-4,bin,true,,102395,1169,5,5,https://pharma-shop.tn/img/cms/nuxe-rasage_1.png,182,0,0
1680275841193,290,https://pharma-shop.tn/mon-compte-20,200,OK,Thread Group 1-4,bin,true,,8202,1166,5,5,https://pharma-shop.tn/img/cms/logofooter.png,282,0,0
1680275841379,168,https://pharma-shop.tn/mon-compte-21,200,OK,Thread Group 1-4,text,true,,1998,1206,5,5,https://pharma-shop.tn/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js,168,0,0
1680275841484,2023,https://pharma-shop.tn/mon-compte-22,200,OK,Thread Group 1-4,text,true,,901344,1194,5,5,https://pharma-shop.tn/themes/pharmashop/assets/cache/bottom-fbcb4b960.js,237,0,0
1680275834335,9409,https://pharma-shop.tn/mon-compte,200,OK,Thread Group 1-5,text,true,,2836775,25999,5,5,https://pharma-shop.tn/connexion?back=my-account,457,0,140
1680275834335,457,https://pharma-shop.tn/mon-compte-0,302,Found,Thread Group 1-5,text,true,,1584,504,5,5,https://pharma-shop.tn/mon-compte,457,0,140
1680275834793,1430,https://pharma-shop.tn/mon-compte-1,200,OK,Thread Group 1-5,text,true,,88774,1015,5,5,https://pharma-shop.tn/connexion?back=my-account,699,0,0
1680275836229,733,https://pharma-shop.tn/mon-compte-2,200,OK,Thread Group 1-5,bin,true,,6265,1170,5,5,https://pharma-shop.tn/img/favicon.ico?1647529441,597,0,443
